Album,Artist,Genre 1,Genre 2,Genre 3,User Submitted
FAST TRAX 3,454,Pop Rap,Southern Hip Hop,Plugg,seraphiel
Quarantine,Laurel Halo,Ambient Pop,Electronic,,corphish
High Risk Behaviour,The Chats,Garage Punk,,,BigToz
every flower in my garden,Lilien Rosarian,Sound Collage,Ambient,,Theo
Ashore the Celestial Burden,Dark Millennium,Death Metal,Progressive Metal,,Nate
Miracle in Transit,Naked Flames,Ambient House,Techno,,zym
can opener's notebook: fish whisperer,Vylet Pony,Indietronica,Progressive Pop,,Trinity
Drillers x Trappers II,RV and Headie One,UK Drill,,,hobo
Egregore,BLACKHANDPATH,Industrial Hip Hop,Experimental Hip Hop,,DCDUKE
Part of the Second,Maudlin of the Well,Progressive Rock,Art Rock,,Luihi
Saint Dymphna,Gang Gang Dance,Neo-Psychedelia,Electropop,,terriyaki
The Doldrums,Ariel Pink,Hypnagogic Pop,Psychedelic Pop,,Moonlit Warrior Ortvgal
Benji,Sun Kil Moon,Contemporary Folk,Singer-Songwriter,,Kaotic
Pawn Hearts,Van Der Graaf Generator,Progressive Rock,,,z33p
Sprawl,Bedlocked,Shoegaze,Slowcore,,lego
Civilians,Civilians,Jazz Rock,Progressive Rock,,Ultra
Songs of Love and Hate,Leonard Cohen,Singer-Songwriter,Contemporary Folk,,gabriel
Romantico,800 Cherries,Shibuya-kei,Indie Pop,,*ant
中学生,betcover!!,Indie Rock,Art Rock,,gregory
Hell Hath No Fury,Clipse,Southern Hip Hop,Gangsta Rap,,Swegify
Fogesque,Fog,Shoegaze,Dream Pop,,owen
quinn,quinn,Experimental Hip Hop,Sound Collage,,oliver
あらためまして、はじめまして、ミドリです,ミドリ,Art Punk,Jazz Fusion,Noise Rock,Tattertoff
Slide,George Clanton,Synthpop,Hypnagogic Pop,,Ciel
Thee Sacred Souls,Thee Sacred Souls,Soul,,,jahquavious
Stage Kids,Intra Mental,Instrumental Math Rock,,,Ultra
Echo,Aseul,Korean pop,Dream Pop,,corphish
A Crow Looked at Me,Mount Eerie,Art Pop,Hypnagogic Pop,,gabriel
WISH GOES ON,MILLY,Indie Rock,Shoegaze,,Clock
Songs for a Scientist,Post Office Winter,Indie Folk,Slowcore,,owen
TWOPOINTFIVE,Aminé,Pop Rap,Digicore,,oliver
shinsekai,ミドリ,Japanese Noise Rock,,,*ant
Songs,John Maus,Hypnagogic Pop,Synthpop,,Ciel
Seychelles,Masayoshi Takanaka,Jazz Fusion,City Pop,,jahquavious
ZUSHI,Dean Blunt,Art Pop,Hypnagogic Pop,,terriyaki
Helloween,Helloween,Power Metal,,,Nate
Max & Match,LOONA ODD EYE CIRCLE,Korean Pop. Future Bass,,,hobo
Audio Diary,Casper Mcfadden,Breakcore,Hardcore Breaks,,TatterToff
In The Silence,Ásgeir,Icelandic Folk,Folktronica,,Swegify
